,date,close,volume
1,2020-11-04,58500,21316295
2,2020-11-03,58800,14950919
3,2020-11-02,57400,20489076
4,2020-10-30,56600,26907844
5,2020-10-29,58100,22636966
9,2020-10-28,59000,14428882
10,2020-10-27,59800,17260416
11,2020-10-26,60400,13268226
12,2020-10-23,60200,9322232
13,2020-10-22,60100,14294095
16,2020-10-21,60900,15703443
17,2020-10-20,60900,19326115
18,2020-10-19,60000,14474985
19,2020-10-16,59500,16554190
20,2020-10-15,60000,17756232
24,2020-10-14,60900,16086716
25,2020-10-13,60900,19247631
26,2020-10-12,60400,16145837
27,2020-10-08,59700,24589924
28,2020-10-07,59900,14861838
31,2020-10-06,59000,14463826
32,2020-10-05,58700,20228289
33,2020-09-29,58200,15503563
34,2020-09-28,58200,12614080
35,2020-09-25,57900,11444683
39,2020-09-24,57800,17564020
40,2020-09-23,58600,20111398
41,2020-09-22,58200,20830381
42,2020-09-21,59200,15140387
43,2020-09-18,59300,18884571
46,2020-09-17,59500,25108356
47,2020-09-16,61000,17041444
48,2020-09-15,61000,17877075
49,2020-09-14,60400,20648281
50,2020-09-11,59000,16017098
54,2020-09-10,59200,29923293
55,2020-09-09,58400,30597399
56,2020-09-08,58700,31517520
57,2020-09-07,56500,18685880
58,2020-09-04,55600,22139109
61,2020-09-03,56400,28384920
62,2020-09-02,54400,16905723
63,2020-09-01,54200,19363117
64,2020-08-31,54000,32671367
65,2020-08-28,55400,14619888
69,2020-08-27,55600,16196568
70,2020-08-26,56400,17651593
71,2020-08-25,56400,14021705
72,2020-08-24,56100,15055896
73,2020-08-21,55900,21142288
76,2020-08-20,55400,30386029
77,2020-08-19,57800,16930719
78,2020-08-18,58400,25307825
79,2020-08-14,58000,15672548
80,2020-08-13,58700,22089460
84,2020-08-12,59000,18573934
85,2020-08-11,58200,24907912
86,2020-08-10,57800,17774291
87,2020-08-07,57500,18751717
88,2020-08-06,58000,21625874
91,2020-08-05,56900,17739706
92,2020-08-04,57300,19419694
93,2020-08-03,56800,21158940
94,2020-07-31,57900,21943345
95,2020-07-30,59000,19285354
99,2020-07-29,59000,36476611
100,2020-07-28,58600,48431566
101,2020-07-27,55600,21054421
102,2020-07-24,54200,10994535
103,2020-07-23,54100,16214932
106,2020-07-22,54700,12885057
107,2020-07-21,55300,18297260
108,2020-07-20,54200,10507530
109,2020-07-17,54400,10096174
110,2020-07-16,53800,16779127
114,2020-07-15,54700,24051450
115,2020-07-14,53800,14269484
116,2020-07-13,53400,12240188
117,2020-07-10,52700,13714746
118,2020-07-09,52800,17054850
121,2020-07-08,53000,19664652
122,2020-07-07,53400,30760032
123,2020-07-06,55000,19856623
124,2020-07-03,53600,11887868
125,2020-07-02,52900,14142583
129,2020-07-01,52600,16706143
130,2020-06-30,52800,21157172
131,2020-06-29,52400,17776925
132,2020-06-26,53300,21575360
133,2020-06-25,51900,18541624
136,2020-06-24,52900,24519552
137,2020-06-23,51400,18086152
138,2020-06-22,52000,13801350
139,2020-06-19,52900,18157985
140,2020-06-18,52300,15982926
144,2020-06-17,52200,26672595
145,2020-06-16,52100,21808375
146,2020-06-15,49900,28772921
147,2020-06-12,52300,26976019
148,2020-06-11,54300,33815123
151,2020-06-10,55400,16742493
152,2020-06-09,55500,23998831
153,2020-06-08,54900,25634965
154,2020-06-05,55500,22743629
155,2020-06-04,54600,40220334
159,2020-06-03,54500,49257814
160,2020-06-02,51400,14247933
161,2020-06-01,51200,16949183
162,2020-05-29,50700,27596961
163,2020-05-28,50400,31309318
166,2020-05-27,49900,19548479
167,2020-05-26,49250,15127490
168,2020-05-25,48850,14337913
169,2020-05-22,48750,19706284
170,2020-05-21,49950,14949266
174,2020-05-20,50000,14896899
175,2020-05-19,50300,25168295
176,2020-05-18,48800,20481981
177,2020-05-15,47850,18463118
178,2020-05-14,48000,19305974
181,2020-05-13,48550,20223277
182,2020-05-12,47900,23433590
183,2020-05-11,48400,16357743
184,2020-05-08,48800,15319700
185,2020-05-07,48800,13884411
189,2020-05-06,49200,18070225
190,2020-05-04,48500,26083749
191,2020-04-29,50000,15604533
192,2020-04-28,50100,16095399
193,2020-04-27,49850,14049471
196,2020-04-24,49350,15618347
197,2020-04-23,49850,18754442
198,2020-04-22,49850,18613864
199,2020-04-21,49250,27407543
200,2020-04-20,50100,21866354
204,2020-04-17,51400,32041675
205,2020-04-16,49000,23349760
206,2020-04-14,49000,14206216
207,2020-04-13,48300,14431800
208,2020-04-10,49250,17839111
211,2020-04-09,49100,22628058
212,2020-04-08,48600,25010314
213,2020-04-07,49600,31524034
214,2020-04-06,48700,23395726
215,2020-04-03,47000,22784682
219,2020-04-02,46800,21621076
220,2020-04-01,45800,27259532
221,2020-03-31,47750,30654261
222,2020-03-30,47850,26797395
223,2020-03-27,48300,39896178
