,tag,weight,type,keyword
0,승인,5742,P,셀트리온
1,출시,2737,P,셀트리온
2,상승,88,P,셀트리온
3,체결,51,P,셀트리온
4,증가,49,P,셀트리온
5,수상,41,P,셀트리온
6,역대,38,P,셀트리온
7,순항,32,P,셀트리온
8,전망,20,P,셀트리온
9,최고,15,P,셀트리온
10,돌파,14,P,셀트리온
11,주목,10,P,셀트리온
12,진출,10,P,셀트리온
13,협력,4,P,셀트리온
14,유치,3,P,셀트리온
15,신제품,3,P,셀트리온
16,부상,3,P,셀트리온
17,신기록,2,P,셀트리온
18,대박,2,P,셀트리온
19,진화,1,P,셀트리온
20,기부,1,P,셀트리온
0,하락,86,N,셀트리온
1,소송,25,N,셀트리온
2,중단,11,N,셀트리온
3,논란,6,N,셀트리온
4,급락,6,N,셀트리온
5,약세,5,N,셀트리온
6,우려,4,N,셀트리온
7,부채,3,N,셀트리온
8,문제,3,N,셀트리온
9,리스크,3,N,셀트리온
10,매각,3,N,셀트리온
11,위반,2,N,셀트리온
12,의혹,2,N,셀트리온
13,발끈,1,N,셀트리온
14,불똥,1,N,셀트리온
15,침해,1,N,셀트리온
16,여파,1,N,셀트리온
17,취약,1,N,셀트리온
18,급감,1,N,셀트리온
